Name,Address,Latitude,Longitude
ORTIZ RESTAURANT,2011 AMSTERDAM AVE NYC 10032,40.8343517,-73.940570111687
PADDY'S,3155 BROADWAY NYC 10027,40.8146807,-73.9594389949842
PAKISTAN TEA HOUSE,176 CHURCH ST NYC 10013,40.7156064,-74.0076219
PINCHE TAQUIERA,103 W 14TH ST NYC 10011,40.7376931,-73.9972167
PINOCCHIO RISTORANTE,1748 1ST AVENUE NYC 10128,40.77966595,-73.9469871
PIO PIO,604 10TH AVENUE NYC 10036,40.7605928,-73.9945434
PITOPIA,1369 BROADWAY NYC 10018,40.752157,-73.9877316
PIZZA PLUS,2253 3RD AVE NYC 10035,40.8018812,-73.936913
PJ BERNSTEIN DELI & RESTAURANT,1215 3RD AVENUE  NYC 10021,40.7685952222222,-73.9613187777778
PRIME KO,217 WEST 85TH STREET NYC 10024,40.7875985,-73.9766091
PROTO PIZZA,50 2ND AVE NYC 10003,40.7253863,-73.9897976
RADIANCE,208 EAST 50TH STREET NYC 10022,40.7556254081633,-73.9705113265306
RAMEN CO,100 MAIDEN LANE NYC 10038,40.70666035,-74.0071607422923
RESTAURANT PATRICK,40 W 45TH STREET NYC 10036,40.75592315,-73.9812951172532
Retro Grill & Bar (Holiday Inn),150 DELANCEY ST NYC 10002,40.71826965,-73.9862333751843
RICARDO STEAK HOUSE,2145 2ND AVENUE NYC 10029,40.7935145,-73.9406529101339
ROASTOWN,267 WEST 34TH STREET NYC 10001,40.75223525,-73.992933208595
SAGAPONACK,4 W 22ND ST NYC 10010,40.74092605,-73.9907854174899
SALUD SOHO,107 THOMPSON STREET NYC 10012,40.72584405,-74.0021221959816
SHARAKU JAPANESE RESTAURANT,14 STUYVESANT STREET  NYC 10003,40.7298041,-73.9890135
SMILER'S DELI,532 MADISON AVENUE NYC 10022,40.7605268,-73.9738326
SOOKK THAI RESTAURANT,2686 BROADWAY NYC 10025,40.79866015,-73.9683332712463
SPACE GABI ( Pink by Ele),290 5TH AVE NYC 10001,40.74634375,-73.986546257989
SPRINKLES ICE CREAM,782 LEXINGTON AVE NYC 10065,40.7634029,-73.9675042
STAR LITE DELI,212 WEST 44TH STREET NYC 10036,40.7575260909091,-73.9866808181818
ST NICHOLAS FOOD,285 SAINT NICHOLAS AVE NYC 10027,40.8103533,-73.953117
SUBWAY,120 4TH AVENUE NYC 10003,40.7330872,-73.9901473
SUSHI DOJO,110 1ST AVE NYC 10009,40.7266377,-73.9856692320645
SWEETGREEN ,1164 BROADWAY NYC 10001,40.7448222,-73.9886332365385
SZECHUAN GARDEN,239 W 105TH ST NYC 10025,40.8005482,-73.9675458157713
TAMBA INDIAN GRILL & BAR,103 LEXINGTON AVENUE NYC 10016,40.74215055,-73.982527825845
TAVERN ON THE THIRD,380 3RD AVENUE NYC 10016,40.7416333333333,-73.9812296666667
THE BEAN,54 2ND AVE NYC 10003,40.7256096,-73.9896285
THE BREAD FACTORY,935 8TH AVENUE NYC 10019,40.76575595,-73.9839299998586
THE DUCK,2171 2ND AVENUE NYC 10029,40.79424205,-73.9400806548
THE DUPLEX,61 CHRISTOPHER STREET  NYC 10014,40.733744,-74.0024898
THE GENERAL,129 W 56TH ST NYC 10019,40.76443285,-73.9789819210463
THE JUNCTION,329 LEXINGTON AVENUE NYC 10016,40.74927545,-73.9772971025107
THE LEXINGTON HOTEL NEW YORK,511 LEXINGTON AVENUE NYC 10017,40.7549725,-73.9731514
THE NYC AT TIMES SQUARE,790 7TH AVE NYC 10019,40.7621059,-73.9827545
THE NEW YORK PALACE HOTEL,455 MADISON AVE NYC 10022,40.75798035,-73.9747689045104
THE STANDARD EAST VILLAGE,25 COOPER SQUARE NYC 10003,40.7278238,-73.9908953
THIRD AVENUE ALE HOUSE,1644 3RD AVENUE NYC 10128,40.7828031,-73.9512877
THIRD RAIL COFFEE,159 2ND AVENUE NYC 10003,40.7297495,-73.9870609
TKETTLE,26 SAINT MARKS PLACE NYC 10003,40.72881485,-73.9886953077713
TOUS LES JOURS,7 DIVISION ST NYC 10002,40.71389515,-73.9970689525425
TOUT VA BIEN,311 WEST 51ST STREET NYC 10019,40.7634534,-73.9861732527521
TROPICAL SENSATION,953 AMSTERDAM AVENUE NYC 10025,40.8008278,-73.9650412441127
TUE THAI FOOD,3 GREENWICH AVENUE NYC 10014,40.7338722,-73.9997968
TU SABOR LATINO,3864 BROADWAY NYC 10032,40.8366451,-73.9426706
UNCLE VANYA,315 WEST 54TH STREET NYC 10019,40.7653703,-73.985095774547
UPTOWN JUICE & VEG,52 E 125TH ST NYC 10035,40.8055163,-73.9405432
VALBELLA N.Y.,421 WEST 13TH STREET NYC 10014,40.740862,-74.0070305
VIA ITALIA RISTORANTE,45 WEST 46TH STREET NYC 10036,40.7569823,-73.9806861316745
''W'' CAFE,390 5TH AVE NYC 10018,40.7498065,-73.9840784
WHOLESOME GARDEN PIZZA,3529 BROADWAY NYC 10031,40.8261459,-73.9509793
WILD GINGER,226 EAST 51ST STREET NYC 10022,40.7558206,-73.9692999444611
WING WAH,2308 1ST AVENUE NYC 10035,40.79748595,-73.933993922085
WOOPS! BAKESHOP,93 WORTH ST NYC 10013,40.7165612,-74.0048984
WORLD CUP CAFE,956 LEXINGTON AVENUE NYC 10021,40.7689352,-73.9634619
XING WONG BBQ,89 E BROADWAY NYC 10002,40.7126273,-74.0075883
YANKEE'S SK PIZZA,2166 3RD AVENUE NYC 10035,40.799518,-73.9390916
YEE LI RESTAURANT,1 ELIZABETH STREET NYC 10013,40.7154802,-73.997758
YI ZHANG FISHBALL & SNACKS RESTAURANT,41 MONROE ST NYC 10002,40.7116645,-73.9945214
YUM YUM BANGKOK,650 9TH AVE NYC 10036,40.76060915,-73.9907679360539
ZABB ELEE,75 2ND AVENUE NYC 10003,40.72656865,-73.9894784498997
ZEN PALATE,516 3RD AVE NYC 10016,40.7461311428571,-73.9779495714286
